,time,open,high,low,close,volume
342,2024-01-27 00:00:00,41823.51,41866.67,41708.0,41785.94,930.043
343,2024-01-27 01:00:00,41785.94,41933.17,41768.5,41818.86,630.61808
344,2024-01-27 02:00:00,41818.86,41896.09,41815.48,41838.59,382.71397
345,2024-01-27 03:00:00,41838.6,41865.21,41765.64,41815.01,832.99188
346,2024-01-27 04:00:00,41815.01,41875.67,41791.1,41844.26,491.10343
347,2024-01-27 05:00:00,41844.26,41890.0,41738.59,41762.48,435.4705
348,2024-01-27 06:00:00,41762.49,41812.0,41691.24,41704.04,559.96951
349,2024-01-27 07:00:00,41704.04,41729.41,41602.01,41710.14,898.52317
350,2024-01-27 08:00:00,41710.15,41719.85,41421.21,41470.01,1368.20378
351,2024-01-27 09:00:00,41470.01,41742.7,41394.34,41669.78,1071.11625
352,2024-01-27 10:00:00,41669.79,41800.0,41651.1,41747.3,732.18207
353,2024-01-27 11:00:00,41747.31,41786.87,41702.88,41761.23,575.83689
354,2024-01-27 12:00:00,41761.22,41807.03,41714.0,41750.0,612.54473
355,2024-01-27 13:00:00,41750.01,41806.55,41725.21,41742.44,419.38468
356,2024-01-27 14:00:00,41742.44,41818.39,41731.01,41766.0,493.43458
357,2024-01-27 15:00:00,41765.99,41894.87,41733.6,41814.0,581.25856
358,2024-01-27 16:00:00,41813.99,41895.74,41791.22,41810.18,609.18361
359,2024-01-27 17:00:00,41810.17,41845.34,41774.07,41779.28,448.23397
360,2024-01-27 18:00:00,41779.28,41817.64,41745.26,41797.62,392.55791
361,2024-01-27 19:00:00,41797.62,41986.06,41790.87,41910.47,806.22964
362,2024-01-27 20:00:00,41910.48,42076.7,41910.47,42059.93,664.97501
363,2024-01-27 21:00:00,42059.94,42176.47,42022.92,42150.59,746.05127
364,2024-01-27 22:00:00,42150.59,42200.0,42079.25,42155.51,624.6537
365,2024-01-27 23:00:00,42155.5,42171.08,42090.0,42120.63,917.13648
366,2024-01-28 00:00:00,42120.63,42145.28,41925.0,41990.85,968.77133
367,2024-01-28 01:00:00,41990.85,42244.0,41990.85,42100.0,1661.33541
368,2024-01-28 02:00:00,42100.0,42177.4,42100.0,42102.22,700.8102
369,2024-01-28 03:00:00,42102.21,42244.0,42100.0,42231.83,600.99075
370,2024-01-28 04:00:00,42231.84,42765.22,42228.64,42720.32,2631.50653
371,2024-01-28 05:00:00,42720.33,42842.68,42453.41,42562.44,2401.725
372,2024-01-28 06:00:00,42562.45,42577.81,42293.66,42413.27,1652.27318
373,2024-01-28 07:00:00,42413.27,42530.63,42359.13,42388.82,1168.39227
374,2024-01-28 08:00:00,42388.82,42614.18,42323.14,42491.1,1299.94364
375,2024-01-28 09:00:00,42491.09,42698.0,42424.0,42575.03,1422.02088
376,2024-01-28 10:00:00,42575.02,42645.83,42500.0,42600.02,683.9497
377,2024-01-28 11:00:00,42600.03,42612.62,42357.88,42471.98,1042.17023
378,2024-01-28 12:00:00,42471.98,42493.33,42291.11,42417.04,1188.06665
379,2024-01-28 13:00:00,42417.04,42449.99,42240.22,42397.18,910.01882
380,2024-01-28 14:00:00,42397.19,42544.0,42252.13,42288.0,910.41591
381,2024-01-28 15:00:00,42288.0,42411.1,42155.55,42258.01,970.07038
382,2024-01-28 16:00:00,42258.0,42354.7,42136.58,42312.34,755.82534
383,2024-01-28 17:00:00,42312.35,42312.35,42100.0,42168.17,755.94073
384,2024-01-28 18:00:00,42168.16,42170.4,41920.51,41971.67,1049.86327
385,2024-01-28 19:00:00,41971.67,42025.0,41721.08,41785.92,1257.9253
386,2024-01-28 20:00:00,41785.91,41969.75,41681.72,41945.09,1140.40494
